R003;2;8
R012;6;5
R003;3;4
R013;4;14
R002;1;7
R007;6;8
R015;3;9
R019;7;3
R003;2;3
R014;7;8
R018;1;2
R018;6;7
R001;0;9
R017;5;9
R005;3;13
R999;8;6
R010;4;2
R016;3;8
R404;7;0
R007;7;0
R017;4;6
R018;4;12
R008;1;2
R009;4;12
BADROOM;4;13
R004;7;7
R002;2;12
R004;4;3
R009;2;14
R004;1;-5
R016;7;3
R013;8;12
BADROOM;8;5
R002;1;1
R016;3;9
R006;2;4
R019;1;7
R019;5;12
R009;5;13
R999;2;4
R005;2;6
R015;5;13
R001;5;2
R404;2;3
R020;6;11
R017;1;7
R002;3;5
R015;7;2
R005;6;3
R002;1;4
R004;7;0
R008;3;1
R011;7;14
R008;2;1
R008;8;14
R008;4;5
R009;7;14
R001;5;5
R020;6;9
R019;1;1
R018;4;2
R000;2;5
R014;5;4
R013;3;5
R001;4;10
R011;8;9
R006;5;11
R003;4;4
R005;4;0
R003;4;7
R008;1;14
R004;4;12
R002;2;13
R017;0;13
R020;7;9
R006;8;13
R009;8;5
R010;6;9
R005;3;2
R011;7;14
R019;1;13
R016;6;7
R014;4;5
R001;7;14
R005;0;7
R001;7;8
R009;4;6
R013;7;2
R018;6;2
R002;4;1
R008;2;4
R009;3;12
R006;-3;5
R013;4;12
R008;5;10
R019;6;11
R017;1;14
R014;0;8
R014;5;9
R015;5;4
R003;8;8
R013;8;3
R012;6;10
R009;4;12
R018;8;8
R001;4;4
R019;6;12
R012;5;4
R007;3;12
R019;0;2
R010;3;12
R009;1;12
RX01;1;8
R011;1;14
R003;2;11
R005;5;4
R014;4;7
R015;7;10
R004;4;5
R006;2;7
R020;1;12
R015;4;13
R019;4;9
R005;3;3
R020;5;8
R013;8;10
R014;5;4
BADROOM;1;0
R019;3;11
R009;7;8
RX01;6;2
R011;8;7
R018;2;6
R013;1;9
R002;6;8
R002;3;8
R016;4;5
R018;4;-5
R004;3;12
R009;8;-5
R005;3;5
R014;5;5
R019;8;8
R012;7;6
R008;4;7
R016;7;11
R005;1;10
R004;8;8
R005;3;13
R000;7;14
R018;6;13
R018;2;11
R404;7;0
R004;5;1
R002;6;4
R019;3;2
R013;4;10
R015;8;1
R015;3;6
R000;7;8
R007;-1;7
R019;5;14
R009;1;12
R010;4;6
R007;3;11
R010;1;12
R010;7;3
R012;5;5
RX01;-1;6
R015;-3;4
R013;0;13
R009;8;12
R019;6;4
R020;6;4
R015;5;2
R002;8;4
R005;6;12
R018;3;11
R016;5;6
R015;-1;11
R012;5;2
RX01;4;10
R999;4;0
R018;4;4
R005;1;3
BADROOM;3;14
R001;4;1
R002;7;12
R015;2;4
R999;5;1
R016;7;8
R015;2;3
R009;6;10
R015;7;12
R018;4;4
R015;2;6
R012;0;2
R003;2;6
R018;6;7
R014;1;0
R004;4;8
R004;6;5
R014;1;11
R009;5;5
R000;3;7
R001;4;8
R012;6;10
R002;1;5
R014;8;4
R004;2;11
R017;1;10
R007;4;13
R011;8;3
R018;6;14
R014;2;10
R013;7;7
R011;8;6
R004;7;7
R011;3;11
R017;6;14
R005;3;3
R003;8;10
R015;6;11
R015;8;13
R002;2;8
R012;2;14
R020;8;13
R002;4;8
R002;6;-5
R006;8;0
R006;5;13
R020;6;2
R013;3;10
R012;7;12
R000;6;11
R017;7;1
R006;-1;8
R005;5;2
