583,4661
7449,2327
2015,8986
-7274,1231
651,-7951
7708,9160
8720,-5535
7140,4144
7393,-6539
-7709,1462
1423,3448
-1630,-6410
-3660,-9951
-7517,683
-8409,-3026
4899,-4838
7269,-8361
2334,9456
-8924,-1971
3973,-5917
-6376,-5657
6458,8014
-9867,2156
-7180,-7804
-7099,7082
-655,9898
7120,-4695
-1040,9366
5708,3839
-9973,909
-6565,9053
-829,3217
-1937,3547
9082,-2972
-6860,-6408
7311,5314
3117,1834
-116,-1473
-7552,5580
6363,-6159
1152,1370
-1878,1780
-2317,8614
6142,2820
-87,-7576
-2368,-5906
4027,-7358
-6190,-840
5133,-7188
-2071,-286
2770,-25
-9702,-5448
-5122,4303
-8418,-1728
2726,3104
8478,1189
-2600,4966
7165,674
-6020,-3980
-9434,6643
2045,5042
2909,-6948
378,8690
-3055,5187
-6164,1164
7373,-4787
9510,-6200
-3704,1281
1558,4658
6813,9794
-4301,8688
-1194,-7871
-4059,-7821
-9259,9937
3642,76
9365,3952
8260,-3103
-2194,7214
1167,5396
-3136,2661
9732,6536
864,-6421
-2353,-9697
6083,-8036
-1471,9355
-4430,-552
8247,8773
-4675,8651
-9148,8656
7765,1057
4933,4783
-4408,-6611
6024,-8423
-206,-4202
8215,8955
-4831,7907
-1196,-4663
-6298,-8966
7406,5668
-6543,-6263
9392,-6574
-5600,204
4781,-6229
2341,1670
-9009,7414
2402,-3866
9642,-9016
-5420,-7257
-5977,-2045
4699,-742
-9615,-7998
-921,6476
4394,-120
1956,1520
-9615,4015
9487,2788
8349,-4734
-4470,512
1701,3446
-8525,5838
-9803,9450
6835,7989
-5510,-6969
9277,9698
3936,9286
5808,-1938
9224,3775
7087,4717
-6373,3495
9939,2510
4111,9268
5851,-7224
-9139,-4684
780,848
7416,-4287
5193,4565
-4763,-5287
-6837,-935
-5645,-9560
-7530,3216
1067,-2272
-1893,2305
-6924,2627
-3889,-5296
-1778,7543
-9108,2761
6872,-7171
-5726,-653
-8580,-7121
1877,8886
-8341,-6934
-1565,-3810
-8260,-2347
-6264,3074
-2504,-5207
-4541,-8875
4545,7325
-3301,1212
9686,2803
1985,-8172
-3112,-5503
-5875,-3597
-3213,8474
1335,-7880
-2970,-5715
6463,955
-5894,-128
3730,8043
6493,-3154
-1936,4503
1199,-7447
-1517,8322
7760,-2229
-6157,5798
3084,3595
5161,-9615
8848,-7084
-6276,4081
-3719,-3934
-4360,7895
-9868,-5481
3073,3512
9711,-6450
-6520,8860
-6241,-1958
-9285,6451
9897,9635
-3328,8389
-8146,-1273
-9823,-4859
6633,5284
1388,4388
-6399,-3840
-7433,6959
-2012,6911
-5901,-1230
-2519,7423
-5401,6025
-5260,-811
-3121,-675
-9013,-2661
9524,1902
-1654,-8107
4968,2355
857,36
-2887,-1399
-5680,3764
-2859,337
1814,-9561
-9302,8703
-9981,-2994
-4550,-5040
-9217,5630
7930,9675
-9519,5500
-8772,965
-7041,4278
9892,8221
-2701,-2871
9713,-2856
-6423,-8446
-5185,3983
2618,-9447
-6265,-2467
-8484,337
-7742,-9678
2676,-5520
-9448,-4435
9565,3037
3232,-4620
-750,-8374
4614,1774
6959,-45
-9673,-1437
-5557,-6749
-7742,922
883,8192
-5158,241
5012,313
-5670,347
3799,-8911
-4154,-4215
9384,7033
3656,6118
6036,4207
-5230,-4907
399,9266
-9797,1587
-6180,2501
-556,-8140
-8667,-4609
-6359,2098
-280,-8458
-9075,-7353
1758,-3674
102,-5684
-2230,-2809
8553,-8587
6762,-7152
5323,4088
561,-9737
4855,998
2363,9126
-657,5345
-7677,3856
-945,8099
4437,-3376
-5929,6380
-2362,-6066
8363,7381
-6544,5804
914,6755
-2425,-7131
6683,6298
7523,-103
-2282,-9764
-3212,-4548
-5571,-5721
-9029,-3362
-8619,-3887
-9138,6455
-90,6347
-7610,5076
934,7493
8954,5114
7601,-256
-7352,-341
5394,-8816
-4118,9811
9451,8811
3655,-2452
6441,8851
8794,7619
1686,4355
8686,6912
-8856,-4013
-4980,-5054
-5079,-7262
-4247,8599
445,4780
-7440,7854
-1008,-6799
5289,4439
-3786,2337
8495,-5562
1693,9251
-5922,9117
9834,-8489
-6078,-8089
2434,213
-5715,1484
5455,4424
1023,-4740
-1494,33
